631,true,1856.0,71,Mate,White,10+5,ntam,1100,twizzcliff,1306
548,true,1857.5,11,Mate,White,15+15,calvelame,1353,hill_j,1181
1227,true,1857.5,52,Mate,Black,10+0,sirdragon1,1175,jesteroz,1270
1158,true,1859.0,61,Mate,White,10+0,sorrowsea,1066,generiklemons,1326
515,true,1859.5,40,Mate,Black,15+2,tensors,1345,fran_1991,1187
1235,true,1860.0,55,Mate,White,10+0,mushnik,1152,jesteroz,1284
1239,true,1863.0,23,Mate,White,10+0,jesteroz,1260,rjh24,1233
738,true,1867.0,104,Resign,Black,15+8,theoldnewb,1030,theanonymousone,1352
630,true,1867.5,51,Resign,White,5+5,juddah,1261,ntam,1237
1223,true,1869.0,44,Resign,Black,10+0,ss-fitz,1136,jesteroz,1301
691,true,1869.5,32,Mate,Black,20+0,noddlep2,1209,dkermanns,1265
934,false,1869.5,45,Resign,Black,30+0,mccheese,1057,jubei,1341
1213,true,1871.0,115,Mate,White,10+0,ryanfeatherman,1262,jesteroz,1240
130,true,1873.5,62,Resign,Black,15+15,sassou,1275,bagelsfu,1236
544,true,1875.0,51,Mate,White,15+15,hill_j,1164,zaraki2103,1293
125,true,1876.0,118,Mate,Black,15+15,fatmat,1350,sassou,1201
203,true,1876.0,111,Mate,White,7+2,taranga,1288,jamila1234,1232
139,true,1877.0,39,Mate,White,15+15,sassou,1248,shobik24,1253
974,false,1878.5,58,Mate,Black,15+0,dipking1,1297,lipecrp,1230
134,true,1880.0,37,Resign,Black,15+15,laeufer26,1228,sassou,1266
607,false,1881.5,71,Out of Time,White,10+0,a_raccoon,1435,snaek161616,1164
126,true,1885.0,66,Mate,Black,15+15,sassou,1210,alpheus23,1280
216,false,1885.5,28,Mate,Black,15+0,italiantranslator,1211,taranga,1280
498,true,1887.5,42,Resign,Black,15+15,tensors,1295,blackhat46,1240
1234,true,1888.5,104,Resign,Black,10+0,materna,1239,jesteroz,1269
1231,true,1889.5,52,Resign,Black,10+0,lynosbc,1235,jesteroz,1272
536,true,1890.5,79,Out of Time,White,10+0,virgil777,1439,hill_j,1171
524,true,1893.5,31,Mate,White,15+15,anotherchessplayer1,1223,aig7,1282
254,true,1894.0,31,Mate,White,45+30,thegrim123321,1354,onafets26,1217
632,false,1895.0,49,Mate,White,10+5,ca-va-lier,1590,ntam,1100
509,true,1895.5,56,Resign,Black,15+2,czarek77,1209,tensors,1291
697,true,1895.5,54,Out of Time,Black,10+0,dbmcdonald,1263,fatih221b,1264
147,true,1896.5,11,Resign,White,15+15,goodolddaystr,1325,sassou,1234
500,false,1899.0,23,Resign,Black,15+2,tensors,1302,piedperson,1248
10,true,1899.5,119,Mate,White,10+0,daniel_likes_chess,1381,mirco25,1209
140,true,1900.5,58,Mate,Black,15+15,maninayebi,1335,sassou,1233
1232,true,1903.0,26,Resign,Black,10+0,jesteroz,1284,goncalossantos,1261
528,true,1904.0,25,Resign,White,10+0,stonedragon,1442,hill_j,1183
1222,true,1905.0,75,Mate,White,10+0,nikita0690,1194,jesteroz,1308
1217,true,1906.5,17,Mate,White,10+0,styve_lam,1279,jesteroz,1267
1224,true,1907.5,87,Mate,White,10+0,jesteroz,1291,messchess777,1262
193,false,1908.5,124,Mate,Black,8+0,taranga,1283,whfo,1267
1214,true,1911.0,70,Mate,Black,10+0,jesteroz,1250,nikita11,1286
731,true,1912.5,58,Mate,Black,10+9,nikosioannidis,1131,theanonymousone,1347
194,true,1915.0,96,Resign,Black,10+4,phileasfrog,1290,taranga,1270
532,true,1916.5,51,Resign,White,15+15,hill_j,1175,justin2718,1329
